winnerSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls,loserSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
6,157,25,10,15.06,7.87,12,6,16,2,7,4,2739,2432,914,2023,243,701,668,918,425,1247,526,275,100,408,623,11,301,30,5,9.33,0.07,14,2,17,0,11,3,2534,2169,899,1813,222,563,514,695,365,1202,566,168,88,393,539
3,178,31,7,19.56,6.72,12,4,18,0,5,4,3096,2571,1124,2381,263,746,585,871,486,1393,699,388,140,449,758,14,65,21,10,2.71,-4.01,11,3,14,0,5,8,2281,2007,821,1736,241,587,398,545,321,1105,482,203,121,398,556
10,161,21,14,11.1,8.99,7,9,14,4,2,6,2512,2419,924,2179,201,604,463,611,464,1274,511,268,145,428,582,7,42,22,11,13.3,7.21,11,7,16,2,6,6,2472,2271,892,1848,210,492,478,633,333,1113,509,159,66,399,560
2,164,33,4,20.92,4.63,16,0,19,1,10,1,2779,2176,979,2176,222,681,599,868,498,1452,526,328,222,464,654,15,37,17,14,2.65,-0.14,11,5,10,2,5,11,2282,2178,821,1808,215,609,425,611,403,1150,430,276,83,549,683
1,63,31,5,22.17,8.57,15,3,14,2,9,1,2819,2313,996,2102,165,484,662,976,511,1559,567,209,280,458,471,9,285,24,10,10.52,6.13,9,7,16,2,5,5,2440,2281,822,1831,202,560,594,856,422,1249,427,164,133,432,585
5,232,27,10,16.44,7.17,11,7,18,3,5,5,2555,2212,914,2071,244,704,483,687,363,1271,552,265,176,426,650,4,314,26,9,16.78,8.19,14,4,18,1,6,4,2750,2431,977,2136,146,433,650,929,532,1437,458,259,95,515,683
3,178,31,7,19.56,6.72,12,4,18,0,5,4,3096,2571,1124,2381,263,746,585,871,486,1393,699,388,140,449,758,6,157,25,10,15.06,7.87,12,6,16,2,7,4,2739,2432,914,2023,243,701,668,918,425,1247,526,275,100,408,623
2,164,33,4,20.92,4.63,16,0,19,1,10,1,2779,2176,979,2176,222,681,599,868,498,1452,526,328,222,464,654,10,161,21,14,11.1,8.99,7,9,14,4,2,6,2512,2419,924,2179,201,604,463,611,464,1274,511,268,145,428,582
1,63,31,5,22.17,8.57,15,3,14,2,9,1,2819,2313,996,2102,165,484,662,976,511,1559,567,209,280,458,471,5,232,27,10,16.44,7.17,11,7,18,3,5,5,2555,2212,914,2071,244,704,483,687,363,1271,552,265,176,426,650
3,178,31,7,19.56,6.72,12,4,18,0,5,4,3096,2571,1124,2381,263,746,585,871,486,1393,699,388,140,449,758,2,164,33,4,20.92,4.63,16,0,19,1,10,1,2779,2176,979,2176,222,681,599,868,498,1452,526,328,222,464,654
1,63,31,5,22.17,8.57,15,3,14,2,9,1,2819,2313,996,2102,165,484,662,976,511,1559,567,209,280,458,471,3,178,31,7,19.56,6.72,12,4,18,0,5,4,3096,2571,1124,2381,263,746,585,871,486,1393,699,388,140,449,758
1,202,34,4,25.46,8.35,13,3,14,1,8,2,3413,2735,1205,2509,264,682,739,983,556,1594,685,325,196,472,608,3,306,30,8,17.45,8.72,13,5,16,2,8,3,2919,2560,990,2193,247,701,692,919,477,1449,551,300,128,505,735
2,168,31,7,17.71,9.37,15,3,12,2,9,1,2737,2420,962,2135,201,567,612,877,533,1482,611,248,107,532,734,1,63,31,5,22.17,8.57,15,3,14,2,9,1,2819,2313,996,2102,165,484,662,976,511,1559,567,209,280,458,471
1,202,34,4,25.46,8.35,13,3,14,1,8,2,3413,2735,1205,2509,264,682,739,983,556,1594,685,325,196,472,608,2,168,31,7,17.71,9.37,15,3,12,2,9,1,2737,2420,962,2135,201,567,612,877,533,1482,611,248,107,532,734
