,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
265,St. John's (NY) NCAA,32,20,12,0.625,7.8,6.3,9,7,14,2,3,7,2250,2202,,1295,784,1953,0.401,139,484,0.287,543,811,0.67,498,1206,368,323,120,484,
266,Stanford NCAA,30,20,10,0.667,17.03,9.03,12,6,10,3,7,5,2420,2180,,1215,822,1823,0.451,207,608,0.34,569,813,0.7,446,1254,480,152,130,409,
284,Texas Tech NCAA,32,23,9,0.719,14.72,7.22,10,6,15,2,6,5,2532,2292,,,931,1999,0.466,146,388,0.376,524,768,0.682,419,1230,588,243,134,397,
285,Texas NCAA,34,22,12,0.647,14.31,9.98,10,6,10,5,7,3,2657,2489,,1380,949,2096,0.453,200,544,0.368,559,814,0.687,524,1356,516,211,131,466,
290,Tulsa NCAA,34,27,7,0.794,12.66,2.3,15,3,13,3,10,2,2726,2363,,1365,961,2016,0.477,259,639,0.405,545,724,0.753,373,1214,586,269,153,436,
291,UCLA NCAA,33,21,12,0.636,13.14,10.77,11,7,11,4,5,6,2476,2398,,1330,902,1912,0.472,223,572,0.39,449,649,0.692,393,1209,475,182,93,496,
293,Utah NCAA,30,21,9,0.7,10.68,5.18,10,4,14,2,6,6,2018,1839,,,688,1467,0.469,236,582,0.405,406,603,0.673,263,917,439,180,82,397,
294,Valparaiso NCAA,33,25,8,0.758,9.38,-1.24,12,2,11,1,8,5,2564,2180,,1325,893,1989,0.449,275,785,0.35,503,754,0.667,448,1242,570,334,136,437,
303,Wake Forest NCAA,34,21,13,0.618,15.25,10.28,9,7,13,3,5,7,2789,2620,,,1001,2094,0.478,240,655,0.366,547,741,0.738,438,1309,553,220,140,497,
310,Western Kentucky NCAA,32,28,4,0.875,10.46,-0.28,13,1,14,0,10,3,2491,2069,,1295,876,1884,0.465,279,734,0.38,460,658,0.699,410,1229,501,228,106,456,
314,Winthrop NCAA,31,19,12,0.613,-6.54,-8.21,10,4,9,4,7,5,2092,2018,,1250,725,1735,0.418,194,630,0.308,448,684,0.655,405,1178,359,236,129,459,
315,Wisconsin NCAA,32,19,13,0.594,10.09,9.22,11,5,12,1,6,8,2144,2101,,,731,1675,0.436,211,593,0.356,471,655,0.719,328,1032,407,188,60,414,
318,Wyoming NCAA,31,22,9,0.71,8.62,2.72,11,3,14,1,6,6,2324,2129,,,795,1745,0.456,132,440,0.3,602,862,0.698,394,1245,418,212,136,449,
319,Xavier NCAA,32,26,6,0.813,13.9,4.09,14,2,13,1,9,4,2317,2003,,1285,777,1732,0.449,197,552,0.357,566,785,0.721,389,1188,400,215,143,435,
