,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
227,Princeton NCAA,28,20,8,0.714,1.54,-3.32,13,1,10,2,10,3,1760,1591,,1140,634,1319,0.481,169,500,0.338,323,454,0.711,241,856,376,192,90,372,507
228,Providence NCAA,29,20,9,0.69,14.87,8.21,11,5,11,4,8,3,2060,1867,,1165,717,1592,0.45,228,629,0.362,398,553,0.72,342,976,455,264,143,433,469
234,Richmond NCAA,33,20,13,0.606,10.07,5.07,10,6,9,4,8,7,2129,1964,,,737,1793,0.411,188,607,0.31,467,648,0.721,403,1164,406,235,143,432,617
241,Saint Joseph's NCAA,32,30,2,0.938,20.03,4.97,16,0,9,0,13,0,2476,1994,,,866,1822,0.475,313,775,0.404,431,614,0.702,308,1043,520,285,111,370,546
253,Seton Hall NCAA,31,21,10,0.677,14.28,7.78,10,6,13,2,6,5,2228,2028,,1250,806,1759,0.458,181,521,0.347,435,609,0.714,359,1134,406,207,95,403,573
257,South Carolina NCAA,34,23,11,0.676,12.77,5.33,8,8,14,3,5,6,2383,2130,,1375,846,1948,0.434,226,691,0.327,465,690,0.674,423,1224,499,300,178,448,609
262,Southern Illinois NCAA,30,25,5,0.833,10.7,2.64,17,1,13,1,11,2,2131,1889,,1200,787,1775,0.443,185,548,0.338,372,540,0.689,393,1057,424,302,91,360,576
270,Stanford NCAA,32,30,2,0.938,17.46,4.34,17,1,14,0,10,1,2356,1936,,1280,849,1771,0.479,169,464,0.364,489,651,0.751,366,1178,513,206,140,453,573
274,Syracuse NCAA,31,23,8,0.742,13.06,7.61,11,5,14,3,6,3,2265,2096,,1245,847,1827,0.464,141,430,0.328,430,669,0.643,423,1180,465,235,205,396,554
284,Texas-El Paso NCAA,32,24,8,0.75,11.42,3.55,13,5,16,1,6,5,2479,2161,,1280,834,1748,0.477,197,513,0.384,614,817,0.752,328,1106,523,228,86,445,572
286,Texas-San Antonio NCAA,33,19,14,0.576,-7.22,-6.11,11,5,11,5,7,5,2400,2367,,,813,1896,0.429,234,648,0.361,540,775,0.697,415,1242,421,251,99,564,635
289,Texas Tech NCAA,34,23,11,0.676,14.71,8.21,9,7,15,1,4,7,2490,2269,,1365,922,1985,0.464,125,371,0.337,521,703,0.741,385,1153,505,278,117,424,562
290,Texas NCAA,33,25,8,0.758,18.52,8.4,12,4,15,1,6,3,2529,2195,,1335,904,2046,0.442,227,610,0.372,494,726,0.68,517,1355,447,219,125,388,645
298,Utah NCAA,33,24,9,0.727,11.37,4.53,9,5,15,1,6,5,2134,1893,,,768,1630,0.471,196,506,0.387,402,556,0.723,355,1140,426,146,111,463,566
299,Valparaiso NCAA,31,18,13,0.581,-0.09,0.01,11,5,10,5,4,6,2217,2201,,1250,765,1740,0.44,165,535,0.308,522,740,0.705,368,1183,474,210,97,500,692
300,Vanderbilt NCAA,33,23,10,0.697,15.7,7.58,8,8,15,2,4,6,2414,2146,,1325,841,1873,0.449,263,716,0.367,469,660,0.711,367,1150,541,248,112,419,576
301,Vermont NCAA,31,22,9,0.71,-2.75,-6.36,15,3,10,2,10,5,2045,1933,,1240,734,1739,0.422,203,617,0.329,374,551,0.679,360,1126,447,218,87,387,475
303,Virginia Commonwealth NCAA,31,23,8,0.742,6.8,-0.17,14,4,15,2,8,5,2202,1986,,1250,811,1707,0.475,208,530,0.392,372,614,0.606,377,1159,407,209,120,510,549
308,Wake Forest NCAA,31,21,10,0.677,18.45,11.03,9,7,12,4,5,5,2590,2360,,1260,882,1854,0.476,236,611,0.386,590,829,0.712,417,1148,487,277,95,457,641
310,Washington NCAA,31,19,12,0.613,9.46,6.43,12,6,11,3,6,7,2543,2449,,1250,890,1911,0.466,201,569,0.353,562,788,0.713,382,1103,501,226,91,472,667
316,Western Michigan NCAA,31,26,5,0.839,12.31,-0.11,15,3,13,0,8,4,2434,2049,,,845,1840,0.459,217,585,0.371,527,731,0.721,449,1177,474,276,83,411,600
320,Wisconsin NCAA,32,25,7,0.781,18.96,7.49,12,4,15,0,5,6,2190,1823,,1290,754,1687,0.447,190,564,0.337,492,684,0.719,347,1049,425,220,90,320,493
324,Xavier NCAA,37,26,11,0.703,13.84,5.84,10,6,13,3,6,6,2635,2339,,1485,908,2058,0.441,284,756,0.376,535,777,0.689,439,1327,494,252,87,459,619
